Number,Track 1,Track 2,Artist,Price,Webpage Title,URL
1,Cool Jerk,Hello Stranger,The Capitals,$0.90,The Capitols – Cool Jerk / Hello Stranger,https://www.discogs.com/master/158743-The-Capitols-Cool-Jerk-Hello-Stranger
2,Stay,Do You Believe,Maurice Williams and the Zodiacs,$1.47,Maurice Williams & The Zodiacs – Stay / Do You Believe,https://www.discogs.com/release/6353028-Maurice-Williams-The-Zodiacs-Stay-Do-You-Believe
3,All Mixed Up Inside,This Heart of Mine,Butchie Barnes and Ila Marie,$16.98,Butchie Barnes & Ila Marie – This Heart Of Mine / All Mixed Up Inside,https://www.discogs.com/release/2799991-Butchie-Barnes-Ila-Marie-This-Heart-Of-Mine-All-Mixed-Up-Inside
4,I Wanna Testify,I Can Feel the Ice Melting,The Parliments,$1.00,The Parliaments – (I Wanna) Testify,https://www.discogs.com/master/171569-The-Parliaments-I-Wanna-Testify
5,Cowboys to Girls,Turn the Hands of Time,The Intruders,$0.75,The Intruders – Cowboys To Girls / Turn The Hands Of Time,https://www.discogs.com/master/181540-The-Intruders-Cowboys-To-Girls-Turn-The-Hands-Of-Time
6,"Baby, Baby I Need You",Girl Why You Wanna Make Me Blue,The Temptations,$5.43,The Temptations – Girl (Why You Wanna Make Me Blue) / Baby Baby I Need You,https://www.discogs.com/master/163757-The-Temptations-Girl-Why-You-Wanna-Make-Me-Blue-Baby-Baby-I-Need-You
