Number,Track 1,Track 2,Artist,Price,Webpage Title,URL
30,Listen to Me,Get on Up,The Esquires,$0.74,The Esquires – Get On Up / Listen To Me,https://www.discogs.com/master/491373-The-Esquires-Get-On-Up-Listen-To-Me
31,Hold On! I'm a Comin',I Got Everything I Need,Sam and Dave,$0.22,Sam & Dave – Hold On! I'm A Comin' / I Got Everything I Need,https://www.discogs.com/master/146272-Sam-Dave-Hold-On-Im-A-Comin-I-Got-Everything-I-Need
32,There He Is,Dancing in the Street,Martha and the Vandellas,$1.90,Martha Reeves & The Vandellas – Dancing In The Street / There He Is,https://www.discogs.com/release/523153-Martha-Reeves-The-Vandellas-Dancing-In-The-Street-There-He-Is
33,But Its Alright,Boogaloo Baby,J.J.Jackson,$0.98,J. J. Jackson* – Boogaloo Baby / But It's Alright,https://www.discogs.com/master/327936-J-J-Jackson-Boogaloo-Baby-But-Its-Alright
34,Up and Down the Ladders,Together,The Intruders,$400.00,NOFX – 30th Anniversary Box Set,https://www.discogs.com/master/524521-NOFX-30th-Anniversary-Box-Set
35,Turn Away From Me,Tell Him,Patti Drew,$2.00,Patti Drew – Tell Him,https://www.discogs.com/master/387364-Patti-Drew-Tell-Him
36,I'm a Happy Man,Kiss Kiss Kiss,The Jive Five,$0.60,The Jive Five – I'm A Happy Man,https://www.discogs.com/master/659117-The-Jive-Five-Im-A-Happy-Man
37,Shake a Tail Feather,Divorce Court,Five Du-Tones,$1.49,The Five Du-Tones – Shake A Tail Feather / Divorce Court,https://www.discogs.com/master/201817-The-Five-Du-Tones-Shake-A-Tail-Feather-Divorce-Court
38,My Story,Road Runner,Bo Diddley,$2.00,Bo Diddley – Road Runner,https://www.discogs.com/master/921653-Bo-Diddley-Road-Runner
39,Love You So Bad,Come Home Girl,The Empires,$40.00,The Empires – Love You So Bad / Come Home Girl,https://www.discogs.com/master/1183614-The-Empires-Love-You-So-Bad-Come-Home-Girl
40,Please Baby Please,Too Shy,The Sensations,$30.00,The Sensations (3) – Please Baby Please / Too Shy,https://www.discogs.com/master/856782-The-Sensations-Please-Baby-Please-Too-Shy
41,You're Gonna Cry,Lover's Island,The Blue Jays,$0.98,The Blue Jays – Lover's Island / You're Gonna Cry,https://www.discogs.com/master/345941-The-Blue-Jays-Lovers-Island-Youre-Gonna-Cry
42,I Ran All the Way Home,Fool Fool Fool,The Impalas,$0.49,The Impalas – Sorry (I Ran All The Way Home) / Fool- Fool- Fool,https://www.discogs.com/master/181466-The-Impalas-Sorry-I-Ran-All-The-Way-Home-Fool-Fool-Fool
43,Romeo and Juliets 'I Don't Wanna Live Without You',You Gave Me Something ,Fantastic Four,$NONE,Fantastic Four – You Gave Me Something (And Everything's Alright),https://www.discogs.com/release/18593458-Fantastic-Four-You-Gave-Me-Something-And-Everythings-Alright
44,Magic of Her Love,You Better Believe It,Jimmie and Wayne,$4.34,Jimmie And Wayne – You Better Believe It / Magic Of Her Love,https://www.discogs.com/release/10736578-Jimmie-And-Wayne-You-Better-Believe-It-Magic-Of-Her-Love
45,Baby I Love You,Bring it Back,The Jaggerz,$3.00,The Jaggerz – (That's Why) Baby I Love You / Bring It Back,https://www.discogs.com/master/729830-The-Jaggerz-Thats-Why-Baby-I-Love-You-Bring-It-Back
46,Good Rockin' Daddy,Billy's Bag,Etta James/Billy Preston,$2.00,Etta James / Billy Preston – Good Rockin' Daddy / Billy's Bag,https://www.discogs.com/master/947702-Etta-James-Billy-Preston-Good-Rockin-Daddy-Billys-Bag
47,Do This For Me,Someone,The Lovers,$12.49,The Lovers (8) – Do This For Me / Someone,https://www.discogs.com/release/2211813-The-Lovers-Do-This-For-Me-Someone
48,Maria Elena,Jungle Dream,Los Indios Tabajaras,$0.01,Los Indios Tabajaras – Maria Elena,https://www.discogs.com/master/154170-Los-Indios-Tabajaras-Maria-Elena
49,No Time For You,Hey It's Love,The Commands,$43.00,The Commands – No Time For You / Hey It's Love,https://www.discogs.com/release/4107648-The-Commands-No-Time-For-You-Hey-Its-Love
50,The Loser,Everything is Fine,The Skyliners,$2.00,The Skyliners – The Loser / Everything Is Fine,https://www.discogs.com/master/588741-The-Skyliners-The-Loser-Everything-Is-Fine
51,We'll Be United,Up and Down the Ladder,The Intruders,$2.00,The Intruders – (We'll Be) United / Up And Down The Ladder,https://www.discogs.com/master/578812-The-Intruders-Well-Be-United-Up-And-Down-The-Ladder
52,Dedicated to You,Trouble Child,Barabara Mason,$48.75,Barbara Mason – Trouble Child / Dedicated To You,https://www.discogs.com/master/748096-Barbara-Mason-Trouble-Child-Dedicated-To-You
53,Guided Missiles,My Heart,The Cufflinks,$2.00,The Cuff Links (2) – Guided Missiles / My Heart,https://www.discogs.com/master/729041-The-Cuff-Links-Guided-Missiles-My-Heart
54,If Your Mother Only Knew,Way Over There,The Miracles,$25.00,The Miracles – If Your Mother Only Knew / Way Over There,https://www.discogs.com/release/2774589-The-Miracles-If-Your-Mother-Only-Knew-Way-Over-There
55,That's What Girls Are Made For,Heebie Jeebies,The Spinners,$300.00,The Spinners* – That's What Little Girls Are Made For,https://www.discogs.com/release/6513507-The-Spinners-Thats-What-Little-Girls-Are-Made-For-
56,Ain't That the Truth,Shoot Your Shot,Junior Walker and the All Stars,$5.00,Jr. Walker & The All Stars* – Shoot Your Shot / Ain't That The Truth,https://www.discogs.com/release/4962700-Jr-Walker-The-All-Stars-Shoot-Your-Shot-Aint-That-The-Truth
57,I've Never Found a Girl,I'm Just the Kind of Fool,Eddie Floyd,$1.99,Eddie Floyd – I've Never Found A Girl (To Love Me Like You Do) / I'm Just The Kind Of Fool,https://www.discogs.com/release/1155039-Eddie-Floyd-Ive-Never-Found-A-Girl-To-Love-Me-Like-You-Do-Im-Just-The-Kind-Of-Fool
58,Forever,Locking Up My Heart,The Marvelettes,$1.00,The Marvelettes – Forever / Locking Up My Heart,https://www.discogs.com/release/2133687-The-Marvelettes-Forever-Locking-Up-My-Heart
59,Take Me Back,Our Song,Little Anthony and the Imperials,$0.50,Little Anthony And The Imperials* – Take Me Back,https://www.discogs.com/master/518498-Little-Anthony-And-The-Imperials-Take-Me-Back
60,Twenty Five Miles,Love is My Destination,Edwin Starr,$0.25,Edwin Starr – Twenty-Five Miles / Love Is My Destination,https://www.discogs.com/master/209668-Edwin-Starr-Twenty-Five-Miles-Love-Is-My-Destination
61,Chain Gang/Bungaree Dolt,See You Later Alligator/Go on With the Wedding,Danny Daniels/Bud Roman/Sue Richards,0,UNKNOWN,UNKNOWN
